id;fiokadatok_id;vallalat_id
1;4;18
2;6;22
3;9;1
4;17;4
5;24;10
6;25;14
7;27;26
8;29;1
9;30;20
10;31;16
11;32;10
12;33;18
13;36;12
14;44;8
15;46;21
16;50;29
17;51;25
18;52;1
19;55;18
20;56;7
21;60;18
22;62;25
23;63;27
24;64;7
25;74;18
26;76;22
27;78;13
28;81;24
29;83;30
30;85;4
31;86;24
32;87;12
33;89;2
34;92;25
35;93;18
36;97;26
37;98;28
38;101;1
39;103;19
40;107;6
41;108;23
42;109;11
43;110;26
44;114;7
45;118;28
46;119;29
47;122;10
48;124;9
49;125;25
50;130;5
51;134;19
52;136;30
53;138;22
54;140;7
55;141;18
56;142;3
57;143;17
58;146;20
59;147;19
60;149;4
61;150;12
62;151;26
63;152;26
64;154;23
65;156;2
66;157;29
67;158;17
68;161;27
69;162;24
70;163;20
71;164;24
72;165;7
73;167;19
74;169;17
75;172;30
76;174;19
77;175;18
78;179;21
79;180;22
